Code;Description
1;Route carried on the structure
2;Single route goes under the structure
A;signifies the first of multiple routes under the structure
B;signifies the second of multiple routes under the structure
C;signifies 3 routes under the structure
D;signifies 4 routes under the structure
E;signifies 5 routes under the structure
F;signifies 6 routes under the structure
G;signifies 7 routes under the structure
H;signifies 8 routes under the structure
I;signifies 9 routes under the structure
J;signifies 10 routes under the structure
K;signifies 11 routes under the structure
L;signifies 12 routes under the structure
M;signifies 13 routes under the structure
N;signifies 14 routes under the structure
O;signifies 15 routes under the structure
P;signifies 16 routes under the structure
Q;signifies 17 routes under the structure
R;signifies 18 routes under the structure
S;signifies 19 routes under the structure
T;signifies 20 routes under the structure
U;signifies 21 routes under the structure
V;signifies 22 routes under the structure
W;signifies 23 routes under the structure
X;signifies 24 routes under the structure
Y;signifies 25 routes under the structure
Z;signifies 26 routes under the structure
